Produktfamilie,Produkttyp,Gewicht,A1-A3,A4,A5,C1,C2,C3,C4,D,A1-A3,A4,A5,C1,C2/1,C3/1,C4/1,D/1
Streckmetalldecken,LMD-St 214,18.111088,48.18,0.16,1.56,0,0.15,0.29,0.04,-28.46,48.18,0.16,1.56,0,0.77,0.29,0,-41.77
Streckmetalldecken,LMD-St 214,11.009772,29.29,0.1,0.95,0,0.09,0.29,0.03,-17.3,29.29,0.1,0.95,0,0.47,0.29,0,-25.39
Streckmetalldecken,LMD-St 214,13.889744,36.95,0.13,1.19,0,0.12,0.29,0.03,-21.83,36.95,0.13,1.19,0,0.59,0.29,0,-32.03
Streckmetalldecken,LMD-St 312,15.224622,40.51,0.14,1.31,0,0.13,0.29,0.04,-23.93,40.51,0.14,1.31,0,0.65,0.29,0,-35.11
Streckmetalldecken,LMD-St 312,20.046944,53.33,0.18,1.72,0,0.17,0.29,0.05,-31.5,53.33,0.18,1.72,0,0.85,0.29,0,-46.23
Streckmetalldecken,LMD-St 312,10.969611,29.19,0.1,0.94,0,0.09,0.29,0.03,-17.24,29.19,0.1,0.94,0,0.47,0.29,0,-25.3
Streckmetalldecken,LMD-St 312,13.793072,36.7,0.12,1.19,0,0.12,0.29,0.03,-21.68,36.7,0.12,1.19,0,0.59,0.29,0,-31.81
Streckmetalldecken,LMD-St 312,11.559218,30.76,0.1,0.99,0,0.1,0.29,0.03,-18.17,30.76,0.1,0.99,0,0.49,0.29,0,-26.66
Streckmetalldecken,LMD-St 312,16.234736,43.19,0.15,1.4,0,0.14,0.29,0.04,-25.51,43.19,0.15,1.4,0,0.69,0.29,0,-37.44
Streckmetalldecken,LMD-St 312,9.393309,24.99,0.09,0.81,0,0.08,0.29,0.02,-14.76,24.99,0.09,0.81,0,0.4,0.29,0,-21.66
Streckmetalldecken,LMD-St 312,12.074768,32.13,0.11,1.04,0,0.1,0.29,0.03,-18.98,32.13,0.11,1.04,0,0.51,0.29,0,-27.85
Streckmetalldecken,LMD-St 312,13.230344,35.2,0.12,1.14,0,0.11,0.29,0.03,-20.79,35.2,0.12,1.14,0,0.56,0.29,0,-30.51
Streckmetalldecken,LMD-St 312,18.111088,48.18,0.16,1.56,0,0.15,0.29,0.04,-28.46,48.18,0.16,1.56,0,0.77,0.29,0,-41.77
Streckmetalldecken,LMD-St 312,11.009772,29.29,0.1,0.95,0,0.09,0.29,0.03,-17.3,29.29,0.1,0.95,0,0.47,0.29,0,-25.39
Streckmetalldecken,LMD-St 312,13.889744,36.95,0.13,1.19,0,0.12,0.29,0.03,-21.83,36.95,0.13,1.19,0,0.59,0.29,0,-32.03
Streckmetalldecken,LMD-St 700 BWS,5.930172,15.78,0.05,0.51,0,0.05,0.29,0.01,-9.32,15.78,0.05,0.51,0,0.25,0.29,0,-13.68
Streckmetalldecken,LMD-St 700 BWS,9.509772,25.3,0.09,0.82,0,0.08,0.29,0.02,-14.94,25.3,0.09,0.82,0,0.4,0.29,0,-21.93
Lamellendecken,LMD-L 601,10.92,29.06,0.1,0.94,0,0.09,0.29,0.03,-17.16,29.06,0.1,0.94,0,0.46,0.29,0,-25.18
Lamellendecken,LMD-L 601,9.732,25.9,0.09,0.84,0,0.08,0.29,0.02,-15.29,25.9,0.09,0.84,0,0.41,0.29,0,-22.44
Lamellendecken,LMD-L 601,9.336,24.84,0.08,0.8,0,0.08,0.29,0.02,-14.67,24.84,0.08,0.8,0,0.4,0.29,0,-21.53
Lamellendecken,LMD-L 601,9.136,24.31,0.08,0.79,0,0.08,0.29,0.02,-14.36,24.31,0.08,0.79,0,0.39,0.29,0,-21.07
Lamellendecken,LMD-L 601,11.328,30.14,0.1,0.97,0,0.1,0.29,0.03,-17.8,30.14,0.1,0.97,0,0.48,0.29,0,-26.13
Lamellendecken,LMD-L 601,9.976,26.54,0.09,0.86,0,0.08,0.29,0.02,-15.68,26.54,0.09,0.86,0,0.42,0.29,0,-23.01
Lamellendecken,LMD-L 601,9.522666667,25.34,0.09,0.82,0,0.08,0.29,0.02,-14.96,25.34,0.09,0.82,0,0.41,0.29,0,-21.96
Lamellendecken,LMD-L 601,9.298,24.74,0.08,0.8,0,0.08,0.29,0.02,-14.61,24.74,0.08,0.8,0,0.4,0.29,0,-21.44
Lamellendecken,LMD-L 601,11.592,30.84,0.1,1,0,0.1,0.29,0.03,-18.22,30.84,0.1,1,0,0.49,0.29,0,-26.73
Lamellendecken,LMD-L 601,10.144,26.99,0.09,0.87,0,0.09,0.29,0.02,-15.94,26.99,0.09,0.87,0,0.43,0.29,0,-23.4
Lamellendecken,LMD-L 601,9.661333333,25.71,0.09,0.83,0,0.08,0.29,0.02,-15.18,25.71,0.09,0.83,0,0.41,0.29,0,-22.28
Lamellendecken,LMD-L 601,9.42,25.07,0.09,0.81,0,0.08,0.29,0.02,-14.8,25.07,0.09,0.81,0,0.4,0.29,0,-21.73
Lamellendecken,LMD-L 601,11.856,31.55,0.11,1.02,0,0.1,0.29,0.03,-18.63,31.55,0.11,1.02,0,0.5,0.29,0,-27.34
Lamellendecken,LMD-L 601,10.316,27.45,0.09,0.89,0,0.09,0.29,0.02,-16.21,27.45,0.09,0.89,0,0.44,0.29,0,-23.79
Lamellendecken,LMD-L 601,9.8,26.08,0.09,0.84,0,0.08,0.29,0.02,-15.4,26.08,0.09,0.84,0,0.42,0.29,0,-22.6
Lamellendecken,LMD-L 601,9.542,25.39,0.09,0.82,0,0.08,0.29,0.02,-15,25.39,0.09,0.82,0,0.41,0.29,0,-22.01
